,ds,y
279,2022-10-05 22:00:00,1355.46
280,2022-10-05 23:00:00,1352.2
281,2022-10-06 00:00:00,1370.04
282,2022-10-06 01:00:00,1378.4
283,2022-10-06 02:00:00,1373.01
284,2022-10-06 03:00:00,1372.56
285,2022-10-06 04:00:00,1372.79
286,2022-10-06 05:00:00,1372.97
287,2022-10-06 06:00:00,1363.7
288,2022-10-06 07:00:00,1368.36
289,2022-10-06 08:00:00,1359.66
290,2022-10-06 09:00:00,1355.99
291,2022-10-06 10:00:00,1358.12
292,2022-10-06 11:00:00,1368.75
293,2022-10-06 12:00:00,1367.63
294,2022-10-06 13:00:00,1364.51
295,2022-10-06 14:00:00,1369.96
296,2022-10-06 15:00:00,1361.38
297,2022-10-06 16:00:00,1363.29
298,2022-10-06 17:00:00,1365.09
299,2022-10-06 18:00:00,1357.54
300,2022-10-06 19:00:00,1358.91
301,2022-10-06 20:00:00,1363.84
302,2022-10-06 21:00:00,1351.47
303,2022-10-06 22:00:00,1350.84
304,2022-10-06 23:00:00,1352.06
305,2022-10-07 00:00:00,1355.44
306,2022-10-07 01:00:00,1354.77
307,2022-10-07 02:00:00,1356.33
308,2022-10-07 03:00:00,1355.19
309,2022-10-07 04:00:00,1352.15
310,2022-10-07 05:00:00,1354.51
311,2022-10-07 06:00:00,1350.77
312,2022-10-07 07:00:00,1356.05
313,2022-10-07 08:00:00,1355.99
314,2022-10-07 09:00:00,1357.03
315,2022-10-07 10:00:00,1356.59
316,2022-10-07 11:00:00,1354.76
317,2022-10-07 12:00:00,1331.29
318,2022-10-07 13:00:00,1332.84
319,2022-10-07 14:00:00,1339.69
320,2022-10-07 15:00:00,1334.11
321,2022-10-07 16:00:00,1323.83
322,2022-10-07 17:00:00,1323.5
323,2022-10-07 18:00:00,1326.6
324,2022-10-07 19:00:00,1327.49
325,2022-10-07 20:00:00,1331.28
326,2022-10-07 21:00:00,1333.49
327,2022-10-07 22:00:00,1333.49
328,2022-10-07 23:00:00,1331.1
329,2022-10-08 00:00:00,1333.49
330,2022-10-08 01:00:00,1335.32
331,2022-10-08 02:00:00,1333.81
332,2022-10-08 03:00:00,1331.05
333,2022-10-08 04:00:00,1328.17
334,2022-10-08 05:00:00,1330.42
335,2022-10-08 06:00:00,1331.93
336,2022-10-08 07:00:00,1330.47
337,2022-10-08 08:00:00,1325.25
338,2022-10-08 09:00:00,1327.26
339,2022-10-08 10:00:00,1328.05
340,2022-10-08 11:00:00,1329.8
341,2022-10-08 12:00:00,1328.95
342,2022-10-08 13:00:00,1325.75
343,2022-10-08 14:00:00,1324.96
344,2022-10-08 15:00:00,1324.31
345,2022-10-08 16:00:00,1329.31
346,2022-10-08 17:00:00,1327.48
347,2022-10-08 18:00:00,1324.94
348,2022-10-08 19:00:00,1324.54
349,2022-10-08 20:00:00,1325.29
350,2022-10-08 21:00:00,1307.34
